id,name,logo_path,territory_id,confed_id,official_name,code,gender,type,level,is_active,team_type
60,Elite Two,res://assets/textures/tournament_logo/60.png,40,15,Cameroon Elite Two ,,0,1,2,1,0
61,Premier League,res://assets/textures/tournament_logo/61.png,41,14,Canadian Premier League,,0,1,1,1,0
62,National Championship,res://assets/textures/tournament_logo/62.png,42,19,Campeonato Caboverdiano de Futebol,,0,1,1,1,0
63,Premier League,res://assets/textures/tournament_logo/63.png,43,12,Cayman Islands League,,0,1,1,1,0
64,CAR League,res://assets/textures/tournament_logo/64.png,44,15,Central African Republic League,,0,1,1,1,0
65,LINAFOOT,res://assets/textures/tournament_logo/65.png,45,15,Chad Premier League,,0,1,1,1,0
66,Primera División,res://assets/textures/tournament_logo/66.png,46,3,Chile Primera Division,,0,1,1,1,0
67,Primera B,res://assets/textures/tournament_logo/67.png,46,3,Chile Primera B,,0,1,2,1,0
68,Segunda División,res://assets/textures/tournament_logo/68.png,46,3,Chile Segunda División,,0,1,3,1,0
69,Super League,res://assets/textures/tournament_logo/69.png,47,21,Chinese Super League,,0,1,1,1,0
70,League One,res://assets/textures/tournament_logo/70.png,47,21,China League One,,0,1,2,1,0
71,League Two,res://assets/textures/tournament_logo/71.png,47,21,China League Two,,0,1,3,1,0
72,Categoría Primera A,res://assets/textures/tournament_logo/72.png,50,3,Colombia Categoría Primera A,,0,1,1,1,0
73,Categoría Primera B,res://assets/textures/tournament_logo/73.png,50,3,Colombia Categoría Primera B,,0,1,2,1,0
74,Premier League,res://assets/textures/tournament_logo/74.png,51,18,Comoros Premier League,,0,1,1,1,0
75,Ligue 1,res://assets/textures/tournament_logo/75.png,52,15,Congo Ligue 1,,0,1,1,1,0
76,Liga FPD,res://assets/textures/tournament_logo/76.png,54,13,Costa Rica Liga FPD,,0,1,1,1,0
77,Segunda División,res://assets/textures/tournament_logo/77.png,54,13,Costa Rica Segunda División,,0,1,2,1,0
78,Prva HNL,res://assets/textures/tournament_logo/78.png,55,9,Croatian First Football League,,0,1,1,1,0
79,Druga HNL,res://assets/textures/tournament_logo/79.png,55,9,Croatian Druga HNL,,0,1,2,1,0
80,Treća HNL,res://assets/textures/tournament_logo/80.png,55,9,Croatian Treća HNL,,0,1,3,1,0
81,Campeonato Nacional de Fútbol,res://assets/textures/tournament_logo/81.png,56,12,Campeonato Nacional de Cuba,,0,1,1,1,0
82,Promé Divishon,res://assets/textures/tournament_logo/82.png,57,12,Curaçao Promé Divishon,,0,1,1,1,0
83,First Division,res://assets/textures/tournament_logo/83.png,58,10,Cypriot First Division,,0,1,1,1,0
84,Second Division,res://assets/textures/tournament_logo/84.png,58,10,Cypriot Second Division,,0,1,2,1,0
85,First League,res://assets/textures/tournament_logo/85.png,59,9,Czech First League,,0,1,1,1,0
86,National Football League,res://assets/textures/tournament_logo/86.png,59,9,Czech National Football League,,0,1,2,1,0
87,Superliga,res://assets/textures/tournament_logo/87.png,60,8,Danish Superliga,,0,1,1,1,0
88,1. Division,res://assets/textures/tournament_logo/88.png,60,8,Danish 1st Division,,0,1,2,1,0
89,2. Division,res://assets/textures/tournament_logo/89.png,60,8,Danish 2nd Division,,0,1,3,1,0
90,3. Division,res://assets/textures/tournament_logo/90.png,60,8,Denmark 3 Division,,0,1,4,1,0
91,Premier League,res://assets/textures/tournament_logo/91.png,61,17,Djibouti Premier League,,0,1,1,1,0
